timestamp,pkt_len,cur_hub,cur_port,path,priority,flow_id,scheduler,etime
0.2515939165836396,984,33,0,33_0,4,71,DRR,0.32846891658363964
0.2862647683171803,997,21,0,21_0,5,45,DRR,0.3641553933171803
0.32846891658363964,984,18,2,33_0-18_2,4,71,DRR,0.40534391658363966
0.3641553933171803,997,6,0,21_0-6_0,5,45,DRR,0.44204601831718027
0.4159751487040778,1005,28,0,28_0,4,10,DRR,0.4944907737040778
0.44204601831718027,997,4,3,21_0-6_0-4_3,5,45,DRR,0.5199366433171803
0.4944907737040778,1005,14,1,28_0-14_1,4,10,DRR,0.5730063987040778
0.5199366433171803,997,1,3,21_0-6_0-4_3-1_3,5,45,DRR,0.5978272683171802
0.5538464324235319,964,21,0,21_0,9,20,DRR,0.6291589324235319
0.5730063987040778,1005,13,3,28_0-14_1-13_3,4,10,DRR,0.6515220237040777
0.5978272683171802,997,16,0,21_0-6_0-4_3-1_3-16_0,5,45,DRR,0.6757178933171802
0.6291589324235319,964,6,1,21_0-6_1,9,20,DRR,0.7044714324235319
0.6515220237040777,1005,3,0,28_0-14_1-13_3-3_0,4,10,DRR,0.7300376487040777
0.6757178933171802,997,18,3,21_0-6_0-4_3-1_3-16_0-18_3,5,45,DRR,0.7536085183171802
0.7044714324235319,964,5,3,21_0-6_1-5_3,9,20,DRR,0.779783932423532
0.7222594923987598,1002,30,0,30_0,5,40,DRR,0.8005407423987597
0.7300376487040777,1005,5,1,28_0-14_1-13_3-3_0-5_1,4,10,DRR,0.8085532737040777
0.779783932423532,964,3,2,21_0-6_1-5_3-3_2,9,20,DRR,0.855096432423532
0.7842516858314561,1022,33,0,33_0,5,46,DRR,0.8640954358314561
0.8005407423987597,1002,15,1,30_0-15_1,5,40,DRR,0.8788219923987597
0.8085532737040777,1005,7,2,28_0-14_1-13_3-3_0-5_1-7_2,4,10,DRR,0.8870688987040777
0.855096432423532,964,13,1,21_0-6_1-5_3-3_2-13_1,9,20,DRR,0.930408932423532
0.8590409339792389,1024,22,0,22_0,6,8,DRR,0.9390409339792388
0.8640954358314561,1022,18,0,33_0-18_0,5,46,DRR,0.9439391858314561
0.8788219923987597,1002,13,2,30_0-15_1-13_2,5,40,DRR,0.9571032423987597
0.930408932423532,964,15,2,21_0-6_1-5_3-3_2-13_1-15_2,9,20,DRR,1.005721432423532
0.9390409339792388,1024,7,0,22_0-7_0,6,8,DRR,1.0190409339792388
0.9439391858314561,1022,16,2,33_0-18_0-16_2,5,46,DRR,1.023782935831456
0.9571032423987597,1002,2,0,30_0-15_1-13_2-2_0,5,40,DRR,1.0353844923987596
1.0190409339792388,1024,4,2,22_0-7_0-4_2,6,8,DRR,1.0990409339792389
1.023782935831456,1022,0,2,33_0-18_0-16_2-0_2,5,46,DRR,1.103626685831456
1.0353844923987596,1002,5,0,30_0-15_1-13_2-2_0-5_0,5,40,DRR,1.1136657423987597
1.0990409339792389,1024,0,2,22_0-7_0-4_2-0_2,6,8,DRR,1.1836266858314561
1.103626685831456,1022,12,1,33_0-18_0-16_2-0_2-12_1,5,46,DRR,1.183470435831456
1.1136657423987597,1002,6,2,30_0-15_1-13_2-2_0-5_0-6_2,5,40,DRR,1.1919469923987598
1.1746377797777177,948,26,0,26_0,4,1,DRR,1.2487002797777176
1.183470435831456,1022,15,3,33_0-18_0-16_2-0_2-12_1-15_3,5,46,DRR,1.263314185831456
1.1836266858314561,1024,12,0,22_0-7_0-4_2-0_2-12_0,6,8,DRR,1.2636266858314562
1.2487002797777176,948,11,1,26_0-11_1,4,1,DRR,1.3227627797777175
1.2636266858314562,1024,14,2,22_0-7_0-4_2-0_2-12_0-14_2,6,8,DRR,1.3436266858314563
1.3227627797777175,948,9,2,26_0-11_1-9_2,4,1,DRR,1.3968252797777174
1.3968252797777174,948,2,0,26_0-11_1-9_2-2_0,4,1,DRR,1.4708877797777173
1.4708877797777173,948,5,1,26_0-11_1-9_2-2_0-5_1,4,1,DRR,1.5449502797777173
1.4751134791509268,1038,22,0,22_0,6,68,DRR,1.5562072291509268
1.5449502797777173,948,7,2,26_0-11_1-9_2-2_0-5_1-7_2,4,1,DRR,1.6190127797777172
1.5562072291509268,1038,7,1,22_0-7_1,6,68,DRR,1.6373009791509268
1.635106191275498,997,21,0,21_0,9,20,DRR,1.712996816275498
1.6373009791509268,1038,5,3,22_0-7_1-5_3,6,68,DRR,1.7183947291509267
1.712996816275498,997,6,1,21_0-6_1,9,20,DRR,1.790887441275498
1.7183947291509267,1038,3,3,22_0-7_1-5_3-3_3,6,68,DRR,1.7994884791509267
1.790887441275498,997,5,3,21_0-6_1-5_3,9,20,DRR,1.868778066275498
1.7994884791509267,1038,17,1,22_0-7_1-5_3-3_3-17_1,6,68,DRR,1.8805822291509267
1.868778066275498,997,3,2,21_0-6_1-5_3-3_2,9,20,DRR,1.946668691275498
1.8773333303461295,953,24,0,24_0,4,6,DRR,1.9517864553461295
1.8805822291509267,1038,19,2,22_0-7_1-5_3-3_3-17_1-19_2,6,68,DRR,1.9616759791509266
1.8990001208401197,1006,25,0,25_0,8,54,DRR,1.9775938708401197
1.946668691275498,997,13,1,21_0-6_1-5_3-3_2-13_1,9,20,DRR,2.0245593162754982
1.9517864553461295,953,10,0,24_0-10_0,4,6,DRR,2.0262395803461293
1.9775938708401197,1006,10,0,25_0-10_0,8,54,DRR,2.1048333303461293
2.022586772336577,991,22,0,22_0,7,48,DRR,2.100008647336577
2.0245593162754982,997,15,2,21_0-6_1-5_3-3_2-13_1-15_2,9,20,DRR,2.1024499412754984
2.0262395803461293,953,8,2,24_0-10_0-8_2,4,6,DRR,2.100692705346129
2.100008647336577,991,7,0,22_0-7_0,7,48,DRR,2.1774305223365773
2.100692705346129,953,0,0,24_0-10_0-8_2-0_0,4,6,DRR,2.175145830346129
2.1048333303461293,1006,8,3,25_0-10_0-8_3,8,54,DRR,2.1834270803461293
2.175145830346129,953,4,0,24_0-10_0-8_2-0_0-4_0,4,6,DRR,2.2495989553461286
2.1774305223365773,991,4,3,22_0-7_0-4_3,7,48,DRR,2.2548523973365775
2.1834270803461293,1006,1,3,25_0-10_0-8_3-1_3,8,54,DRR,2.2620208303461293
2.2495989553461286,953,6,2,24_0-10_0-8_2-0_0-4_0-6_2,4,6,DRR,2.3240520803461284
2.2548523973365775,991,1,1,22_0-7_0-4_3-1_1,7,48,DRR,2.3322742723365777
2.2620208303461293,1006,16,1,25_0-10_0-8_3-1_3-16_1,8,54,DRR,2.3406145803461293
2.3322742723365777,991,8,0,22_0-7_0-4_3-1_1-8_0,7,48,DRR,2.409696147336578
2.3406145803461293,1006,19,2,25_0-10_0-8_3-1_3-16_1-19_2,8,54,DRR,2.4192083303461294
2.409696147336578,991,10,3,22_0-7_0-4_3-1_1-8_0-10_3,7,48,DRR,2.487118022336578
2.4292127104100434,995,34,0,34_0,3,37,DRR,2.5069470854100433
2.5069470854100433,995,19,1,34_0-19_1,3,37,DRR,2.584681460410043
2.548665430115827,980,35,0,35_0,6,69,DRR,2.6252279301158272
2.571084730321519,1011,31,0,31_0,1,74,DRR,2.6500691053215193
2.584681460410043,995,17,3,34_0-19_1-17_3,3,37,DRR,2.662415835410043
2.6252279301158272,980,19,1,35_0-19_1,6,69,DRR,2.7017904301158273
2.6500691053215193,1011,15,0,31_0-15_0,1,74,DRR,2.7290534803215194
2.662415835410043,995,3,1,34_0-19_1-17_3-3_1,3,37,DRR,2.740150210410043
2.7017904301158273,980,17,3,35_0-19_1-17_3,6,69,DRR,2.7783529301158274
2.7290534803215194,1011,12,3,31_0-15_0-12_3,1,74,DRR,2.8080378553215195
2.740150210410043,995,9,1,34_0-19_1-17_3-3_1-9_1,3,37,DRR,2.817884585410043
2.7783529301158274,980,3,1,35_0-19_1-17_3-3_1,6,69,DRR,2.8549154301158275
2.8080378553215195,1011,1,0,31_0-15_0-12_3-1_0,1,74,DRR,2.8870222303215196
2.817884585410043,995,11,3,34_0-19_1-17_3-3_1-9_1-11_3,3,37,DRR,2.895618960410043
2.8549154301158275,980,9,0,35_0-19_1-17_3-3_1-9_0,6,69,DRR,2.9314779301158276
2.8870222303215196,1011,4,0,31_0-15_0-12_3-1_0-4_0,1,74,DRR,2.9660066053215197
2.9314779301158276,980,10,3,35_0-19_1-17_3-3_1-9_0-10_3,6,69,DRR,3.0080404301158277
2.9660066053215197,1011,6,2,31_0-15_0-12_3-1_0-4_0-6_2,1,74,DRR,3.04499098032152
3.039478048457478,1012,31,0,31_0,1,19,DRR,3.118540548457478
3.118540548457478,1012,15,1,31_0-15_1,1,19,DRR,3.197603048457478
3.197603048457478,1012,13,0,31_0-15_1-13_0,1,19,DRR,3.276665548457478
3.2252972708288214,1014,24,0,24_0,6,77,DRR,3.3045160208288213
3.276665548457478,1012,14,2,31_0-15_1-13_0-14_2,1,19,DRR,3.355728048457478
3.2917121041735,1001,23,0,23_0,5,55,DRR,3.3699152291735
3.3045160208288213,1014,10,0,24_0-10_0,6,77,DRR,3.3837347708288212
3.3699152291735,1001,7,1,23_0-7_1,5,55,DRR,3.4481183541735
3.3837347708288212,1014,8,2,24_0-10_0-8_2,6,77,DRR,3.462953520828821
3.3863567258011407,975,22,0,22_0,1,21,DRR,3.4625286008011407
3.4481183541735,1001,5,2,23_0-7_1-5_2,5,55,DRR,3.5263214791735
3.4625286008011407,975,7,1,22_0-7_1,1,21,DRR,3.5387004758011407
3.462953520828821,1014,0,3,24_0-10_0-8_2-0_3,6,77,DRR,3.542172270828821
3.5263214791735,1001,2,3,23_0-7_1-5_2-2_3,5,55,DRR,3.6045246041734997
3.5387004758011407,975,5,3,22_0-7_1-5_3,1,21,DRR,3.6148723508011407
3.542172270828821,1014,16,0,24_0-10_0-8_2-0_3-16_0,6,77,DRR,3.621391020828821
3.6045246041734997,1001,17,1,23_0-7_1-5_2-2_3-17_1,5,55,DRR,3.6827277291734997
3.6071823662547597,962,22,0,22_0,1,34,DRR,3.6823386162547598
3.6148723508011407,975,3,2,22_0-7_1-5_3-3_2,1,21,DRR,3.6910442258011407
3.621391020828821,1014,18,3,24_0-10_0-8_2-0_3-16_0-18_3,6,77,DRR,3.700609770828821
3.6823386162547598,962,7,1,22_0-7_1,1,34,DRR,3.75749486625476
3.6827277291734997,1001,19,3,23_0-7_1-5_2-2_3-17_1-19_3,5,55,DRR,3.7609308541734996
3.6910442258011407,975,13,1,22_0-7_1-5_3-3_2-13_1,1,21,DRR,3.7672161008011407
3.723463897709664,1020,27,0,27_0,6,27,DRR,3.803151397709664
3.75749486625476,962,5,2,22_0-7_1-5_2,1,34,DRR,3.83265111625476
3.7672161008011407,975,15,3,22_0-7_1-5_3-3_2-13_1-15_3,1,21,DRR,3.8433879758011407
3.801693680526273,1003,21,0,21_0,9,20,DRR,3.8800530555262727
3.803151397709664,1020,11,1,27_0-11_1,6,27,DRR,3.882838897709664
3.813597730589196,993,34,0,34_0,9,25,DRR,3.891175855589196
3.83265111625476,962,2,2,22_0-7_1-5_2-2_2,1,34,DRR,3.90780736625476
3.8800530555262727,1003,6,1,21_0-6_1,9,20,DRR,3.9584124305262725
3.882838897709664,1020,9,2,27_0-11_1-9_2,6,27,DRR,3.962526397709664
3.891175855589196,993,19,0,34_0-19_0,9,25,DRR,3.968753980589196
3.90780736625476,962,13,0,22_0-7_1-5_2-2_2-13_0,1,34,DRR,3.98296361625476
3.9376035232529527,983,35,0,35_0,3,16,DRR,4.014400398252953
3.9584124305262725,1003,5,3,21_0-6_1-5_3,9,20,DRR,4.036771805526272
3.962526397709664,1020,2,2,27_0-11_1-9_2-2_2,6,27,DRR,4.042213897709664
3.968753980589196,993,16,3,34_0-19_0-16_3,9,25,DRR,4.046332105589196
3.98296361625476,962,14,2,22_0-7_1-5_2-2_2-13_0-14_2,1,34,DRR,4.05811986625476
4.014400398252953,983,19,0,35_0-19_0,3,16,DRR,4.091197273252953
4.036771805526272,1003,3,2,21_0-6_1-5_3-3_2,9,20,DRR,4.115131180526272
4.042213897709664,1020,13,1,27_0-11_1-9_2-2_2-13_1,6,27,DRR,4.121901397709665
4.046332105589196,993,1,0,34_0-19_0-16_3-1_0,9,25,DRR,4.123910230589195
4.091197273252953,983,16,2,35_0-19_0-16_2,3,16,DRR,4.167994148252953
4.115131180526272,1003,13,1,21_0-6_1-5_3-3_2-13_1,9,20,DRR,4.200260772709664
4.121901397709665,1020,15,3,27_0-11_1-9_2-2_2-13_1-15_3,6,27,DRR,4.201588897709665
4.123910230589195,993,4,1,34_0-19_0-16_3-1_0-4_1,9,25,DRR,4.201488355589195
4.146870777474695,979,31,0,31_0,1,28,DRR,4.223355152474695
4.167994148252953,983,0,1,35_0-19_0-16_2-0_1,3,16,DRR,4.2447910232529535
4.192224134766664,1002,22,0,22_0,1,34,DRR,4.270505384766664
4.200260772709664,1003,15,2,21_0-6_1-5_3-3_2-13_1-15_2,9,20,DRR,4.278620147709664
4.201488355589195,993,7,3,34_0-19_0-16_3-1_0-4_1-7_3,9,25,DRR,4.2790664805891945
4.223355152474695,979,15,1,31_0-15_1,1,28,DRR,4.299839527474695
4.2447910232529535,983,8,0,35_0-19_0-16_2-0_1-8_0,3,16,DRR,4.321587898252954
4.2627036876688305,1016,28,0,28_0,5,5,DRR,4.34207868766883
4.269899265146971,999,28,0,28_0,2,75,DRR,4.42012556266883
4.270505384766664,1002,7,1,22_0-7_1,1,34,DRR,4.348786634766664
4.299839527474695,979,13,3,31_0-15_1-13_3,1,28,DRR,4.376323902474694
4.321587898252954,983,10,3,35_0-19_0-16_2-0_1-8_0-10_3,3,16,DRR,4.398384773252954
4.34207868766883,1016,14,1,28_0-14_1,5,5,DRR,4.42145368766883
4.348786634766664,1002,5,2,22_0-7_1-5_2,1,34,DRR,4.427067884766664
4.376323902474694,979,3,3,31_0-15_1-13_3-3_3,1,28,DRR,4.452808277474694
4.42012556266883,999,14,1,28_0-14_1,2,75,DRR,4.49950056266883
4.42145368766883,1016,13,2,28_0-14_1-13_2,5,5,DRR,4.50082868766883
4.427067884766664,1002,2,2,22_0-7_1-5_2-2_2,1,34,DRR,4.505349134766663
4.431711307362871,943,22,0,22_0,1,92,DRR,4.505383182362871
4.452808277474694,979,17,1,31_0-15_1-13_3-3_3-17_1,1,28,DRR,4.529292652474694
4.49950056266883,999,13,3,28_0-14_1-13_3,2,75,DRR,4.57754743766883
4.50082868766883,1016,2,0,28_0-14_1-13_2-2_0,5,5,DRR,4.5802036876688295
4.505349134766663,1002,13,0,22_0-7_1-5_2-2_2-13_0,1,34,DRR,4.583630384766663
4.505383182362871,943,7,0,22_0-7_0,1,92,DRR,4.57905505736287
4.529292652474694,979,19,3,31_0-15_1-13_3-3_3-17_1-19_3,1,28,DRR,4.605777027474693
4.561030566470726,1024,30,0,30_0,2,51,DRR,4.641030566470726
4.57754743766883,999,3,0,28_0-14_1-13_3-3_0,2,75,DRR,4.65559431266883
4.57905505736287,943,4,3,22_0-7_0-4_3,1,92,DRR,4.65272693236287
4.5802036876688295,1016,5,0,28_0-14_1-13_2-2_0-5_0,5,5,DRR,4.659578687668829
4.583630384766663,1002,14,2,22_0-7_1-5_2-2_2-13_0-14_2,1,34,DRR,4.661911634766663
4.641030566470726,1024,15,0,30_0-15_0,2,51,DRR,4.721030566470726
4.65272693236287,943,1,1,22_0-7_0-4_3-1_1,1,92,DRR,4.7263988073628695
4.65559431266883,999,5,1,28_0-14_1-13_3-3_0-5_1,2,75,DRR,4.73364118766883
4.659578687668829,1016,6,2,28_0-14_1-13_2-2_0-5_0-6_2,5,5,DRR,4.738953687668829
4.6712873627180524,1021,31,0,31_0,9,59,DRR,4.751052987718053
4.710113290782839,1023,29,0,29_0,8,93,DRR,4.7900351657828395
4.721030566470726,1024,12,3,30_0-15_0-12_3,2,51,DRR,4.801030566470726
4.7263988073628695,943,8,0,22_0-7_0-4_3-1_1-8_0,1,92,DRR,4.800070682362869
4.73364118766883,999,7,3,28_0-14_1-13_3-3_0-5_1-7_3,2,75,DRR,4.81168806266883
4.751052987718053,1021,15,1,31_0-15_1,9,59,DRR,4.830818612718053
4.7900351657828395,1023,14,0,29_0-14_0,8,93,DRR,4.86995704078284
4.800070682362869,943,10,3,22_0-7_0-4_3-1_1-8_0-10_3,1,92,DRR,4.873742557362869
4.801030566470726,1024,1,3,30_0-15_0-12_3-1_3,2,51,DRR,4.881030566470726
4.830818612718053,1021,13,3,31_0-15_1-13_3,9,59,DRR,4.910584237718053
4.85736286582351,938,33,0,33_0,3,17,DRR,4.93064411582351
4.86995704078284,1023,12,2,29_0-14_0-12_2,8,93,DRR,4.94987891578284
4.881030566470726,1024,16,0,30_0-15_0-12_3-1_3-16_0,2,51,DRR,4.961030566470726
4.8966788246791495,998,32,0,32_0,6,85,DRR,4.97464757467915
4.910584237718053,1021,3,3,31_0-15_1-13_3-3_3,9,59,DRR,4.990349862718054
4.93064411582351,938,18,2,33_0-18_2,3,17,DRR,5.00392536582351
4.94987891578284,1023,0,1,29_0-14_0-12_2-0_1,8,93,DRR,5.02980079078284
4.961030566470726,1024,18,2,30_0-15_0-12_3-1_3-16_0-18_2,2,51,DRR,5.08392536582351
4.97464757467915,998,18,1,32_0-18_1,6,85,DRR,5.05261632467915
4.990349862718054,1021,17,1,31_0-15_1-13_3-3_3-17_1,9,59,DRR,5.070115487718054
5.02980079078284,1023,8,0,29_0-14_0-12_2-0_1-8_0,8,93,DRR,5.10972266578284
5.05261632467915,998,17,2,32_0-18_1-17_2,6,85,DRR,5.13058507467915
5.070115487718054,1021,19,3,31_0-15_1-13_3-3_3-17_1-19_3,9,59,DRR,5.149881112718054
5.095490859426627,1016,25,0,25_0,4,56,DRR,5.174865859426626
5.102308751467742,1006,22,0,22_0,9,72,DRR,5.180902501467742
5.10972266578284,1023,10,3,29_0-14_0-12_2-0_1-8_0-10_3,8,93,DRR,5.18964454078284
5.13058507467915,998,2,0,32_0-18_1-17_2-2_0,6,85,DRR,5.20855382467915
5.174865859426626,1016,10,1,25_0-10_1,4,56,DRR,5.254240859426626
5.180902501467742,1006,7,1,22_0-7_1,9,72,DRR,5.259496251467741
5.20855382467915,998,5,0,32_0-18_1-17_2-2_0-5_0,6,85,DRR,5.28652257467915
5.254240859426626,1016,9,3,25_0-10_1-9_3,4,56,DRR,5.333615859426626
5.259496251467741,1006,5,2,22_0-7_1-5_2,9,72,DRR,5.338090001467741
5.28652257467915,998,6,2,32_0-18_1-17_2-2_0-5_0-6_2,6,85,DRR,5.36449132467915
5.333615859426626,1016,3,2,25_0-10_1-9_3-3_2,4,56,DRR,5.412990859426626
5.338090001467741,1006,2,2,22_0-7_1-5_2-2_2,9,72,DRR,5.41668375146774
5.412990859426626,1016,13,1,25_0-10_1-9_3-3_2-13_1,4,56,DRR,5.492365859426625
5.41668375146774,1006,13,1,22_0-7_1-5_2-2_2-13_1,9,72,DRR,5.570959609426625
5.492365859426625,1016,15,2,25_0-10_1-9_3-3_2-13_1-15_2,4,56,DRR,5.571740859426625
5.500801145943164,961,20,0,20_0,7,50,DRR,5.575879270943164
5.570959609426625,1006,15,2,22_0-7_1-5_2-2_2-13_1-15_2,9,72,DRR,5.650334609426625
5.575879270943164,961,6,0,20_0-6_0,7,50,DRR,5.6509573959431645
5.6509573959431645,961,4,3,20_0-6_0-4_3,7,50,DRR,5.726035520943165
5.726035520943165,961,1,3,20_0-6_0-4_3-1_3,7,50,DRR,5.801113645943165
5.801113645943165,961,16,0,20_0-6_0-4_3-1_3-16_0,7,50,DRR,5.876191770943165
5.876191770943165,961,18,3,20_0-6_0-4_3-1_3-16_0-18_3,7,50,DRR,5.951269895943165
5.90833216468878,1032,33,0,33_0,4,35,DRR,5.98895716468878
5.98895716468878,1032,18,1,33_0-18_1,4,35,DRR,6.06958216468878
6.030241126953701,971,26,0,26_0,3,84,DRR,6.106100501953701
6.06958216468878,1032,17,3,33_0-18_1-17_3,4,35,DRR,6.150207164688781
6.08448967749862,1013,28,0,28_0,1,94,DRR,6.16363030249862
6.106100501953701,971,11,0,26_0-11_0,3,84,DRR,6.181959876953702
6.150207164688781,1032,3,1,33_0-18_1-17_3-3_1,4,35,DRR,6.230832164688781
6.16363030249862,1013,14,0,28_0-14_0,1,94,DRR,6.24277092749862
6.181959876953702,971,8,3,26_0-11_0-8_3,3,84,DRR,6.257819251953702
6.230832164688781,1032,9,1,33_0-18_1-17_3-3_1-9_1,4,35,DRR,6.311457164688782
6.24277092749862,1013,12,1,28_0-14_0-12_1,1,94,DRR,6.32191155249862
6.257819251953702,971,1,0,26_0-11_0-8_3-1_0,3,84,DRR,6.333678626953702
6.284543183333419,986,34,0,34_0,3,37,DRR,6.361574433333419
6.311457164688782,1032,11,2,33_0-18_1-17_3-3_1-9_1-11_2,4,35,DRR,6.392082164688782
6.32191155249862,1013,15,3,28_0-14_0-12_1-15_3,1,94,DRR,6.40105217749862
6.333678626953702,971,4,0,26_0-11_0-8_3-1_0-4_0,3,84,DRR,6.4095380019537025
6.361574433333419,986,19,1,34_0-19_1,3,37,DRR,6.438605683333419
6.4095380019537025,971,6,3,26_0-11_0-8_3-1_0-4_0-6_3,3,84,DRR,6.485397376953703
6.438605683333419,986,17,3,34_0-19_1-17_3,3,37,DRR,6.515636933333419
6.515636933333419,986,3,1,34_0-19_1-17_3-3_1,3,37,DRR,6.592668183333419
6.592668183333419,986,9,1,34_0-19_1-17_3-3_1-9_1,3,37,DRR,6.669699433333419
6.669699433333419,986,11,3,34_0-19_1-17_3-3_1-9_1-11_3,3,37,DRR,6.7467306833334195
7.315314571119101,981,27,0,27_0,6,27,DRR,7.391955196119101
7.391955196119101,981,11,1,27_0-11_1,6,27,DRR,7.4685958211191
7.4685958211191,981,9,2,27_0-11_1-9_2,6,27,DRR,7.5452364461191
7.5452364461191,981,2,2,27_0-11_1-9_2-2_2,6,27,DRR,7.6218770711190995
7.6218770711190995,981,13,1,27_0-11_1-9_2-2_2-13_1,6,27,DRR,7.698517696119099
7.698517696119099,981,15,3,27_0-11_1-9_2-2_2-13_1-15_3,6,27,DRR,7.775158321119099
7.72818393896323,1037,30,0,30_0,4,83,DRR,7.80919956396323
7.80919956396323,1037,15,1,30_0-15_1,4,83,DRR,7.89021518896323
7.8097993999951445,988,28,0,28_0,4,15,DRR,7.8869868999951445
7.870773858945327,1037,26,0,26_0,5,3,DRR,7.951789483945327
7.8869868999951445,988,14,1,28_0-14_1,4,15,DRR,7.964174399995144
7.89021518896323,1037,13,0,30_0-15_1-13_0,4,83,DRR,7.97123081396323
7.951789483945327,1037,11,0,26_0-11_0,5,3,DRR,8.032805108945327
7.964174399995144,988,13,1,28_0-14_1-13_1,4,15,DRR,8.041361899995145
7.97123081396323,1037,14,3,30_0-15_1-13_0-14_3,4,83,DRR,8.05224643896323
8.032805108945327,1037,8,3,26_0-11_0-8_3,5,3,DRR,8.113820733945326
8.041361899995145,988,15,2,28_0-14_1-13_1-15_2,4,15,DRR,8.118549399995146
8.113820733945326,1037,1,3,26_0-11_0-8_3-1_3,5,3,DRR,8.194836358945325
8.194836358945325,1037,16,0,26_0-11_0-8_3-1_3-16_0,5,3,DRR,8.275851983945325
8.25836479138601,1008,20,0,20_0,3,23,DRR,8.337114791386009
8.275851983945325,1037,18,2,26_0-11_0-8_3-1_3-16_0-18_2,5,3,DRR,8.356867608945324
8.337114791386009,1008,6,1,20_0-6_1,3,23,DRR,8.415864791386008
8.415864791386008,1008,5,2,20_0-6_1-5_2,3,23,DRR,8.494614791386008
8.494614791386008,1008,2,3,20_0-6_1-5_2-2_3,3,23,DRR,8.573364791386007
8.498401916723507,972,33,0,33_0,4,71,DRR,8.574339416723507
8.525876029749007,1011,35,0,35_0,6,69,DRR,8.604860404749006
8.573364791386007,1008,17,0,20_0-6_1-5_2-2_3-17_0,3,23,DRR,8.652114791386007
8.574339416723507,972,18,2,33_0-18_2,4,71,DRR,8.650276916723508
8.604860404749006,1011,19,1,35_0-19_1,6,69,DRR,8.683844779749005
8.611745976731005,975,26,0,26_0,3,11,DRR,8.687917851731005
8.613740728026684,1034,22,0,22_0,3,70,DRR,8.694521978026684
8.652114791386007,1008,18,2,20_0-6_1-5_2-2_3-17_0-18_2,3,23,DRR,8.730864791386006
8.683844779749005,1011,17,3,35_0-19_1-17_3,6,69,DRR,8.762829154749005
8.687917851731005,975,11,0,26_0-11_0,3,11,DRR,8.764089726731005
8.694521978026684,1034,7,0,22_0-7_0,3,70,DRR,8.775303228026683
8.762829154749005,1011,3,1,35_0-19_1-17_3-3_1,6,69,DRR,8.841813529749004
8.764089726731005,975,8,2,26_0-11_0-8_2,3,11,DRR,8.840261601731005
8.775303228026683,1034,4,3,22_0-7_0-4_3,3,70,DRR,8.856084478026682
8.840261601731005,975,0,3,26_0-11_0-8_2-0_3,3,11,DRR,8.916433476731005
8.841813529749004,1011,9,0,35_0-19_1-17_3-3_1-9_0,6,69,DRR,8.920797904749003
8.856084478026682,1034,1,3,22_0-7_0-4_3-1_3,3,70,DRR,8.936865728026682
8.916433476731005,975,16,0,26_0-11_0-8_2-0_3-16_0,3,11,DRR,8.992605351731005
8.920797904749003,1011,10,3,35_0-19_1-17_3-3_1-9_0-10_3,6,69,DRR,8.999782279749002
8.936865728026682,1034,16,0,22_0-7_0-4_3-1_3-16_0,3,70,DRR,9.073386601731004
8.972165412101647,970,32,0,32_0,3,79,DRR,9.047946662101648
8.992355301564002,982,25,0,25_0,6,24,DRR,9.069074051564002
8.992605351731005,975,18,3,26_0-11_0-8_2-0_3-16_0-18_3,3,11,DRR,9.068777226731005
9.047946662101648,970,18,1,32_0-18_1,3,79,DRR,9.123727912101648
9.069074051564002,982,10,1,25_0-10_1,6,24,DRR,9.145792801564001
9.073386601731004,1034,18,2,22_0-7_0-4_3-1_3-16_0-18_2,3,70,DRR,9.154167851731003
9.09890566964788,988,28,0,28_0,1,94,DRR,9.176093169647881
9.123727912101648,970,17,2,32_0-18_1-17_2,3,79,DRR,9.199509162101648
9.145792801564001,982,9,2,25_0-10_1-9_2,6,24,DRR,9.222511551564
9.176093169647881,988,14,0,28_0-14_0,1,94,DRR,9.253280669647882
9.199509162101648,970,2,2,32_0-18_1-17_2-2_2,3,79,DRR,9.275290412101649
9.222511551564,982,2,2,25_0-10_1-9_2-2_2,6,24,DRR,9.352009162101648
9.253280669647882,988,12,1,28_0-14_0-12_1,1,94,DRR,9.330468169647883
9.275290412101649,970,13,0,32_0-18_1-17_2-2_2-13_0,3,79,DRR,9.35107166210165
9.330468169647883,988,15,3,28_0-14_0-12_1-15_3,1,94,DRR,9.407655669647884
9.35107166210165,970,14,3,32_0-18_1-17_2-2_2-13_0-14_3,3,79,DRR,9.42685291210165
9.352009162101648,982,13,1,25_0-10_1-9_2-2_2-13_1,6,24,DRR,9.428727912101648
9.355785036490419,1020,25,0,25_0,8,32,DRR,9.435472536490419
9.409335594746612,991,33,0,33_0,2,9,DRR,9.486757469746612
9.410705889777692,1014,29,0,29_0,3,90,DRR,9.489924639777692
9.428727912101648,982,15,2,25_0-10_1-9_2-2_2-13_1-15_2,6,24,DRR,9.505446662101647
9.435472536490419,1020,10,2,25_0-10_2,8,32,DRR,9.51516003649042
9.486757469746612,991,18,0,33_0-18_0,2,9,DRR,9.564179344746613
9.489924639777692,1014,14,0,29_0-14_0,3,90,DRR,9.569143389777693
9.564179344746613,991,16,3,33_0-18_0-16_3,2,9,DRR,9.641601219746613
9.569143389777693,1014,12,2,29_0-14_0-12_2,3,90,DRR,9.648362139777694
9.628453929564534,995,28,0,28_0,4,10,DRR,9.706188304564535
9.641601219746613,991,1,1,33_0-18_0-16_3-1_1,2,9,DRR,9.719023094746614
9.648362139777694,1014,0,1,29_0-14_0-12_2-0_1,3,90,DRR,9.727580889777695
